,Year,Round,Region Number,Region Name,Seed,Score,Team,Team.1,Score.1,Seed.1,Pointdiff,Winner,Champs,MM19,,Seed,Matchup,Champs
0,1985,1,1,West,1,83,St Johns,Southern,59,16,24,1,0,No,,1,16,0
1,1985,1,1,West,2,81,VCU,Marshall,65,15,16,1,0,Yes (1),,2,15,0
2,1985,1,1,West,3,65,NC State,Nevada,56,14,9,1,0,Yes (2),,3,14,0
3,1985,1,1,West,4,85,UNLV,San Diego St,80,13,5,1,0,No,,4,13,0
4,1985,1,1,West,5,58,Washington,Kentucky,65,12,7,2,0,Yes (1),,5,12,0
5,1985,1,1,West,6,75,Tulsa,UTEP,79,11,4,2,0,No,,6,11,0
6,1985,1,1,West,7,50,Alabama,Arizona,41,10,9,1,0,Yes (2),,7,10,0
7,1985,1,1,West,8,54,Iowa,Arkansas,63,9,9,2,0,Yes (1),,8,9,0
8,1985,1,2,East,1,68,Georgetown,Lehigh,43,16,25,1,0,No,,1,16,0
9,1985,1,2,East,2,65,Georgia Tech,Mercer,58,15,7,1,0,No,,2,15,0
10,1985,1,2,East,3,76,Illinois,Northeastern,57,14,19,1,0,Yes (2),,3,14,0
11,1985,1,2,East,4,59,Loyola Illinois,Iona,58,13,1,1,0,Yes (2),,4,13,0
12,1985,1,2,East,5,85,SMU,Old Dominion,68,12,17,1,0,Yes (2),,5,12,0
13,1985,1,2,East,6,67,Georgia,Wichita St,59,11,8,1,0,No,,6,11,0
14,1985,1,2,East,7,70,Syracuse,DePaul,65,10,5,1,0,Yes (1),,7,10,0
15,1985,1,2,East,8,60,Temple,Virginia Tech,57,9,3,1,0,Yes (2),,8,9,0
16,1985,1,3,Midwest,1,96,Oklahoma,North Carolina A&T,83,16,13,1,0,Yes (1),,1,16,0
17,1985,1,3,Midwest,2,67,Memphis,Pennsylvania,55,15,12,1,0,No,,2,15,0
18,1985,1,3,Midwest,3,75,Duke,Pepperdine,62,14,13,1,0,Yes (1),,3,14,0
19,1985,1,3,Midwest,4,75,Ohio St,Iowa St,64,13,11,1,0,Yes (1),,4,13,0
20,1985,1,3,Midwest,5,78,Louisiana Tech,Pittsburgh,54,12,24,1,0,No,,5,12,0
21,1985,1,3,Midwest,6,53,Texas Tech,Boston College,55,11,2,2,0,Yes (1),,6,11,0
22,1985,1,3,Midwest,7,70,UAB,Michigan St,68,10,2,1,0,Yes (2),,7,10,0
23,1985,1,3,Midwest,8,55,USC,Illinois St,58,9,3,2,0,No,,8,9,0
24,1985,1,4,Southeast,1,59,Michigan,Fairleigh Dickinson,55,16,4,1,0,Yes (1),,1,16,0
25,1985,1,4,Southeast,2,76,North Carolina,Middle Tennessee St,57,15,19,1,0,Yes (1),,2,15,0
26,1985,1,4,Southeast,3,49,Kansas,Ohio,38,14,11,1,0,Yes (1),,3,14,0
27,1985,1,4,Southeast,4,55,LSU,Navy,78,13,23,2,0,Yes (1),,4,13,0
28,1985,1,4,Southeast,5,69,Maryland,Miami Ohio,68,12,1,1,0,Yes (1),,5,12,0
29,1985,1,4,Southeast,6,58,Purdue,Auburn,59,11,1,2,0,Yes (1),,6,11,0
30,1985,1,4,Southeast,7,79,Notre Dame,Oregon St,70,10,9,1,0,No,,7,10,0
