PLAYER ,TEAM ,AGE ,GP ,W ,L ,MIN ,PTS ,FGM ,FGA ,FG_PCT,3PM ,3PA ,3P_PCT,FTM ,FTA ,FT_PCT,OREB ,DREB ,REB ,AST ,TOV ,STL ,BLK ,PF ,FP ,DD2 ,TD3 ,PLUS_MINUS
Zion Williamson,NOP ,20,61,29,32,33.2,27,10.4,17,61.1,0.2,0.6,29.4,6,8.7,69.8,2.7,4.5,7.2,3.7,2.7,0.9,0.6,2.2,43.2,14,0,1.5
Zeke Nnaji,DEN ,20,42,30,12,9.5,3.2,1.2,2.5,48.1,0.6,1.4,40.7,0.3,0.4,80,0.3,1.2,1.5,0.2,0.2,0.2,0.1,0.7,6.1,0,0,-2
Zach LaVine,CHI ,26,58,26,32,35.1,27.4,9.8,19.4,50.7,3.4,8.2,41.9,4.4,5.1,84.9,0.6,4.4,5,4.9,3.5,0.8,0.5,2.4,41,3,0,-0.2
Yuta Watanabe,TOR ,26,50,24,26,14.5,4.4,1.6,3.6,43.9,0.7,1.8,40,0.5,0.6,82.8,0.7,2.5,3.2,0.8,0.4,0.5,0.4,1.1,11.7,0,0,-0.8
Yogi Ferrell,LAC ,28,10,4,6,13.7,5.6,2,5.7,35.1,0.9,2.8,32.1,0.7,0.9,77.8,0.5,1.4,1.9,2.2,0.3,0.7,0.3,1.1,13.9,0,0,-0.1
Xavier Tillman Sr.,MEM ,22,59,31,28,18.4,6.6,2.8,5.1,55.9,0.4,1.1,33.8,0.6,0.9,64.2,1.3,3.1,4.3,1.3,0.8,0.7,0.6,2,16.9,2,0,0.6
Willy Hernangomez,NOP ,27,47,20,27,18,7.8,3.2,5.7,56.3,0,0.2,10,1.3,2,66.7,2.5,4.6,7.1,1.1,0.7,0.5,0.5,1.4,20,11,0,-0.3
Willie Cauley-Stein,DAL ,27,53,29,24,17.1,5.3,2.2,3.4,63.2,0,0.2,9.1,0.9,1.5,62.8,1.2,3.2,4.5,0.7,0.5,0.4,0.8,2.4,14.7,1,0,2.6
Will Magnay,NOP ,23,1,1,0,3.3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,-1,0,0,-10
Will Barton,DEN ,30,56,37,19,31,12.7,4.6,10.9,42.6,1.8,4.6,38.1,1.7,2.2,78.5,0.7,3.3,4,3.2,1.7,0.9,0.4,1.7,24.6,0,0,4.1
Wesley Matthews,LAL ,34,58,33,25,19.5,4.8,1.5,4.3,35.3,1.1,3.4,33.5,0.6,0.7,85.4,0.3,1.3,1.6,0.9,0.4,0.7,0.3,1.4,10.5,0,0,0.7
Wes Iwundu,NOP ,26,41,17,24,13.1,2.4,0.8,2.5,33.3,0.1,1,12.2,0.6,0.8,83.9,0.4,1.8,2.2,0.4,0.5,0.4,0.1,1.2,6.6,0,0,-2.3
Wenyen Gabriel,NOP ,24,21,9,12,11.5,3.4,1.1,2.9,40,0.6,1.5,40.6,0.5,0.8,64.7,1,1.6,2.6,0.5,0.7,0.4,0.4,1.5,9,0,0,0.1
Wendell Carter Jr.,ORL ,22,54,21,33,25.5,11.2,4.3,8.5,50.3,0.3,0.9,29.4,2.4,3.3,73.2,2.4,5.8,8.2,1.9,1.4,0.6,0.8,2.7,26.8,13,0,-4.5
Wayne Ellington,DET ,33,46,13,33,22,9.6,3.2,7.3,44.1,2.5,6,42.2,0.6,0.8,80,0.3,1.6,1.8,1.5,0.7,0.4,0.2,1.3,15.1,0,0,-1.5
Vlatko Cancar,DEN ,24,41,28,13,6.9,2.1,0.8,1.8,45.8,0.2,0.8,27.3,0.2,0.3,76.9,0.3,1,1.2,0.3,0.3,0.3,0,0.4,4.7,0,0,-2.5
Vincent Poirier,PHI ,27,10,8,2,3.9,0.8,0.3,1.2,25,0,0.1,0,0.2,0.6,33.3,0.6,0.8,1.4,0.2,0.4,0,0.3,0.8,3.3,0,0,-1.6
Victor Oladipo,MIA ,29,33,13,20,32.7,19.8,7.1,17.5,40.8,2.4,7.2,32.6,3.2,4.2,75.4,0.4,4.5,4.8,4.6,2.5,1.4,0.4,2.5,35.4,0,0,-2.2
Vernon Carey Jr.,CHA ,20,19,9,10,6,2.4,0.9,1.9,50,0.1,0.4,14.3,0.5,0.6,81.8,0.3,1.1,1.4,0.1,0.3,0.1,0.3,0.7,5,0,0,-0.6
Udonis Haslem,MIA ,41,1,1,0,2.7,4,2,2,100,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5.2,0,0,3
Udoka Azubuike,UTA ,21,15,13,2,3.8,1.1,0.3,0.6,44.4,0,0,0,0.5,0.7,80,0.3,0.6,0.9,0,0.2,0.1,0.3,0.6,2.9,0,0,-4.3
Tyus Jones,MEM ,25,70,36,34,17.5,6.3,2.5,5.9,43.1,0.6,2,32.1,0.6,0.6,91.1,0.3,1.7,2,3.7,0.7,0.9,0.1,0.4,16.6,2,0,-1.2
Tyrese Maxey,PHI ,20,61,41,20,15.3,8,3.2,7,46.2,0.5,1.7,30.1,1,1.1,87.1,0.2,1.5,1.7,2,0.7,0.4,0.2,1.3,14.2,0,0,-0.9
Tyrese Haliburton,SAC ,21,58,25,33,30.1,13,5,10.7,47.2,2.1,5.1,40.9,0.8,1,85.7,0.7,2.3,3,5.3,1.6,1.3,0.5,1.4,28.4,5,0,-3.1
Tyrell Terry,DAL ,20,11,2,9,5.1,1,0.5,1.5,31.3,0,0.6,0,0.1,0.3,33.3,0,0.5,0.5,0.5,0.2,0.5,0,0.2,3.7,0,0,0
Tyler Johnson,BKN ,29,39,29,10,17.5,5.4,1.8,4.7,39.3,1.2,3.4,36.4,0.5,0.5,85.7,0.2,1.8,2,1.2,0.4,0.4,0,1.1,10.2,0,0,1.2
Tyler Herro,MIA ,21,54,29,25,30.3,15.1,5.7,12.9,43.9,2,5.5,36,1.7,2.2,80.3,0.5,4.5,5,3.4,1.9,0.6,0.3,1.3,27.2,5,0,-1.6
Tyler Cook,DET ,23,32,11,21,13.7,4.9,2.2,3.2,67,0,0.1,50,0.5,1.1,48.6,0.9,2.1,3,0.5,0.7,0.3,0.1,1.1,9.5,0,0,-1.1
Tyler Bey,DAL ,23,18,11,7,3.9,1,0.4,1.2,31.8,0.1,0.2,25,0.2,0.3,60,0.4,0.6,1.1,0.2,0.2,0,0.1,0.3,2.5,0,0,-2.1
Ty-Shon Alexander,PHX ,22,15,11,4,3.2,0.6,0.2,0.8,25,0.1,0.6,22.2,0.1,0.1,50,0.1,0.5,0.7,0.4,0.2,0,0.1,0.1,2,0,0,-0.5
Ty Jerome,OKC ,23,33,7,26,23.9,10.7,3.9,8.7,44.6,2.2,5.1,42.3,0.8,1,76.5,0.3,2.5,2.8,3.6,1.4,0.6,0.2,1.8,20.4,0,0,-4.1
Troy Brown Jr.,CHI ,21,34,10,24,15.4,4.7,1.8,4.2,43.1,0.6,2.1,31.4,0.4,0.6,71.4,0.6,2.5,3.1,0.9,0.6,0.3,0.2,1.4,10.5,0,0,0.8
Tristan Thompson,BOS ,30,54,27,27,23.8,7.6,3.1,6,51.8,0,0.1,0,1.3,2.2,59.2,3.1,5,8.1,1.2,1.1,0.4,0.6,2.2,21.2,5,0,0.4
Trey Lyles,SAS ,25,23,10,13,15.6,5,1.9,3.9,47.8,0.6,1.7,35,0.7,1,65.2,0.4,3.3,3.7,0.6,0.3,0.3,0,0.6,11.1,1,0,-4.7
Trey Burke,DAL ,28,62,35,27,14.7,6.6,2.4,5.7,42.8,0.9,2.6,35.4,0.8,0.9,89.5,0.2,0.7,0.9,1.3,0.5,0.6,0.1,1,11.2,0,0,0.2
Trevor Ariza,MIA ,36,30,17,13,28,9.4,3.3,8,41.1,1.7,4.8,35,1.1,1.5,77.3,0.9,3.9,4.8,1.8,0.7,1,0.6,1.8,22.1,1,0,1.3
Trent Forrest,UTA ,23,30,22,8,10.1,2.9,1.1,2.4,45.1,0.2,0.9,19.2,0.6,0.6,100,0.4,1.1,1.5,1.5,0.7,0.3,0.1,0.7,7.5,0,0,-1.6
Tremont Waters,BOS ,23,26,13,13,9.1,3.8,1.3,3.2,40.5,0.6,1.5,39.5,0.6,0.7,94.1,0.2,0.6,0.8,2.4,1,0.6,0,0.7,9.2,0,0,-0.4
Tre Jones,SAS ,21,37,15,22,7.3,2.5,1,2.1,47.4,0.1,0.1,60,0.5,0.5,89.5,0.2,0.4,0.6,1.1,0.4,0.2,0,0.4,5.1,0,0,-2.2
Trae Young,ATL ,22,63,36,27,33.7,25.3,7.7,17.7,43.8,2.2,6.3,34.3,7.7,8.7,88.6,0.6,3.3,3.9,9.4,4.1,0.8,0.2,1.8,43.1,28,0,4.2
Torrey Craig,PHX ,30,50,33,17,16.1,5.5,2.2,4.5,48,0.8,2.1,36.8,0.3,0.4,77.3,1.1,2.8,3.9,1,0.5,0.6,0.5,1.7,14.5,2,0,-1.9
Tony Snell,ATL ,29,47,29,18,21.1,5.3,1.9,3.6,51.5,1.3,2.3,56.9,0.2,0.2,100,0.4,2,2.4,1.3,0.4,0.3,0.2,1.6,11.1,0,0,1.4
Tony Bradley,OKC ,23,42,15,27,16.3,7.1,3.1,4.7,66.5,0,0.1,0,0.9,1.3,69.1,2,3.7,5.7,0.9,0.8,0.4,0.7,1.5,17.7,3,0,-0.4
Tomas Satoransky,CHI ,29,58,25,33,22.5,7.7,2.9,5.7,51.4,0.7,2,35.6,1.2,1.4,84.8,0.5,1.9,2.4,4.7,1.7,0.7,0.2,1.5,18.8,1,0,0
Tobias Harris,PHI ,28,62,44,18,32.5,19.5,7.6,14.9,51.2,1.3,3.4,39.4,2.9,3.3,89.2,1,5.8,6.8,3.5,1.7,0.9,0.8,1.9,36.4,11,0,5.2
Timothe Luwawu-Cabarrot,BKN ,26,58,38,20,18.1,6.4,2.2,6.1,36.5,1.3,4.1,31.4,0.6,0.7,81.4,0.5,1.7,2.2,1.2,0.7,0.6,0.1,1.7,12.1,0,0,-0.4
Tim Hardaway Jr.,DAL ,29,70,42,28,28.4,16.6,5.8,13,44.7,3,7.6,39.1,2,2.5,81.6,0.3,3,3.3,1.8,0.9,0.4,0.2,1.6,24.1,0,0,1
Tim Frazier,MEM ,30,5,5,0,12.4,1.6,0.6,4,15,0,1.6,0,0.4,1.2,33.3,0,1.6,1.6,3.2,0.8,0.4,0.2,1.4,9.3,0,0,1
Thon Maker,CLE ,24,8,3,5,9.6,3.8,1.3,2.3,55.6,0,0.3,0,1.3,1.4,90.9,1,1.3,2.3,0.5,0.4,0.3,0.5,0.9,9.1,0,0,-2.3
Thomas Bryant,WAS ,23,10,2,8,27.1,14.3,5.9,9.1,64.8,0.9,2.1,42.9,1.6,2.4,66.7,1.8,4.3,6.1,1.5,1.1,0.4,0.8,3.1,26.4,1,0,-1.4
Theo Pinson,NYK ,25,17,9,8,2,0.1,0.1,0.5,11.1,0,0.5,0,0,0,0,0,0.3,0.3,0.1,0.1,0,0,0.2,0.5,0,0,-0.9
Theo Maledon,OKC ,20,65,20,45,27.3,10.1,3.5,9.4,36.8,1.6,4.8,33.5,1.6,2.1,74.8,0.4,2.9,3.2,3.5,2.2,0.9,0.2,1.9,20.2,1,0,-9.6
