year,Steel,Country
2014,823,China
2015,804,China
2016,808,China
2017,871,China
2018,928,China
2019,995,China
2020,1064,China
2014,87,India
2015,89,India
2016,96,India
2017,102,India
2018,107,India
2019,111,India
2020,100,India
2014,111,Japan
2015,105,Japan
2016,105,Japan
2017,105,Japan
2018,104,Japan
2019,99,Japan
2020,83,Japan
2014,88,USA
2015,79,USA
2016,79,USA
2017,82,USA
2018,87,USA
2019,88,USA
2020,73,USA
2014,72,Russia
2015,71,Russia
2016,71,Russia
2017,72,Russia
2018,72,Russia
2019,72,Russia
2020,72,Russia
